"customerid","contract","tenure","monthlycharges","churn","internetservice","paymentmethod","health_score"
"6718-BDGHG","One year",43,64.85,"No","DSL","Bank transfer (automatic)",70
"9046-DQMTP","Month-to-month",35,20.75,"No","No","Bank transfer (automatic)",50
"6439-LAJXL","Month-to-month",9,68.95,"No","DSL","Mailed check",40
"1571-SAVHK","Month-to-month",12,99.95,"Yes","Fiber optic","Mailed check",50
"9052-VKDUW","Month-to-month",65,109.4,"No","Fiber optic","Credit card (automatic)",80
"9546-CQJSU","Month-to-month",2,91.4,"Yes","Fiber optic","Electronic check",50
"1666-JZPZT","Month-to-month",27,49,"No","DSL","Mailed check",60
"5777-KJIRB","One year",40,50.25,"No","DSL","Mailed check",70
"0506-LVNGN","Month-to-month",5,75.55,"Yes","Fiber optic","Credit card (automatic)",50
"7677-SJJJK","One year",8,19.9,"No","No","Credit card (automatic)",40
"2480-EJWYP","One year",58,97.8,"No","Fiber optic","Bank transfer (automatic)",90
"3253-HKOKL","One year",52,100.3,"No","Fiber optic","Electronic check",90
"7055-HNEOJ","Month-to-month",3,55.8,"No","DSL","Mailed check",40
"5514-YQENT","Two year",41,111.15,"No","Fiber optic","Electronic check",90
"3211-AAPKX","Month-to-month",20,98.55,"No","Fiber optic","Mailed check",60
"8445-DNBAE","Month-to-month",1,50.05,"No","DSL","Electronic check",40
"2951-QOQTK","Month-to-month",4,80.8,"Yes","Fiber optic","Credit card (automatic)",50
"2958-NHPPS","Month-to-month",23,20.85,"No","No","Electronic check",40
"6806-YDEUL","Month-to-month",6,19.5,"No","No","Bank transfer (automatic)",30
"1735-XMJVH","Month-to-month",8,19.35,"No","No","Mailed check",30
"6890-PFRQX","Month-to-month",18,69.5,"No","DSL","Mailed check",50
"0222-CNVPT","Month-to-month",52,48.8,"No","DSL","Credit card (automatic)",70
"5899-OUVKV","Month-to-month",31,94.5,"No","Fiber optic","Electronic check",70
"8681-ICONS","Month-to-month",29,20.65,"No","No","Mailed check",50
"1621-YNCJH","Two year",36,106.05,"No","Fiber optic","Credit card (automatic)",90
"3473-XIIIT","Month-to-month",16,100,"Yes","Fiber optic","Electronic check",60
"6362-QHAFM","One year",42,108.3,"No","Fiber optic","Electronic check",80
"7893-IXHRQ","Month-to-month",1,20.55,"Yes","No","Electronic check",30
"3070-BDOQC","Two year",60,99.65,"No","Fiber optic","Electronic check",100
"2952-QAYZF","Month-to-month",5,85.3,"Yes","Fiber optic","Electronic check",50
"6234-PFPXL","Month-to-month",22,95.9,"No","Fiber optic","Credit card (automatic)",60
"9824-QCJPK","One year",36,20,"No","No","Mailed check",60
"4763-PGDPO","Month-to-month",4,70.4,"Yes","Fiber optic","Electronic check",50
"4283-IVYCI","Month-to-month",9,64.95,"No","DSL","Mailed check",40
"1866-OBPNR","Month-to-month",1,74.6,"No","Fiber optic","Credit card (automatic)",50
"8205-MQUGY","Month-to-month",12,49.2,"No","DSL","Electronic check",40
"8970-ANWXO","One year",23,73.75,"No","DSL","Mailed check",70
"9480-BQJEI","One year",62,92.3,"No","Fiber optic","Bank transfer (automatic)",90
"5394-SVGJV","Month-to-month",37,98.8,"Yes","Fiber optic","Bank transfer (automatic)",70
"6979-TNDEU","Month-to-month",8,19.2,"No","No","Mailed check",30
"9777-WJJPR","Month-to-month",31,88.65,"No","Fiber optic","Credit card (automatic)",70
"9283-LZQOH","Month-to-month",13,74.4,"Yes","Fiber optic","Credit card (automatic)",60
"7079-QRCBC","Month-to-month",24,98.75,"Yes","Fiber optic","Electronic check",60
"9495-SKLKD","Month-to-month",45,95.95,"No","Fiber optic","Bank transfer (automatic)",70
"6048-UWKAL","Two year",69,105.4,"No","Fiber optic","Credit card (automatic)",100
"5067-DGXLL","Month-to-month",2,20.25,"No","No","Mailed check",30
"5469-CTCWN","One year",61,106,"Yes","Fiber optic","Electronic check",90
"9851-QXEEQ","Month-to-month",41,104.7,"Yes","Fiber optic","Electronic check",70
"6281-FKEWS","One year",44,49.05,"No","DSL","Electronic check",70
"8898-KASCD","One year",39,35.55,"No","DSL","Mailed check",70
"9242-TKFSV","Two year",72,65.1,"No","DSL","Credit card (automatic)",90
"9290-SHCMB","Month-to-month",13,96.85,"No","Fiber optic","Electronic check",60
"0743-HNPFG","One year",51,69.75,"No","DSL","Credit card (automatic)",80
"2277-BKJKN","Two year",71,99.2,"No","Fiber optic","Electronic check",100
"9809-IMGCQ","Month-to-month",22,96.7,"Yes","Fiber optic","Electronic check",60
"5208-HFSBT","Month-to-month",2,55.05,"Yes","DSL","Credit card (automatic)",40
"5035-PGZXH","One year",56,106.8,"No","Fiber optic","Electronic check",90
"8695-WDYEA","Month-to-month",1,51.25,"No","DSL","Mailed check",40
"6543-JXSOO","One year",23,57.75,"No","DSL","Mailed check",60
"8016-ZMGMO","One year",66,70.85,"No","DSL","Bank transfer (automatic)",90
"8605-ITULD","Month-to-month",1,19.55,"No","No","Mailed check",30
"3254-YRILK","Month-to-month",19,88.2,"Yes","Fiber optic","Electronic check",60
"6416-YJTTB","Month-to-month",11,79.5,"No","Fiber optic","Bank transfer (automatic)",50
"2667-WYLWJ","One year",8,19.75,"Yes","No","Mailed check",40
"4472-VESGY","Month-to-month",52,98.15,"No","Fiber optic","Bank transfer (automatic)",80
"3195-TQDZX","Month-to-month",3,20.25,"No","No","Electronic check",30
"3128-YOVTD","Month-to-month",51,79.15,"No","Fiber optic","Bank transfer (automatic)",80
"0529-ONKER","Month-to-month",15,75.65,"Yes","Fiber optic","Electronic check",60
"1728-CXQBE","Month-to-month",64,94.25,"No","Fiber optic","Electronic check",80
"7041-TXQJH","Month-to-month",37,40.2,"No","DSL","Credit card (automatic)",60
"5014-GSOUQ","Two year",13,19.95,"No","No","Mailed check",60
"5724-BIDBU","One year",49,55.35,"No","DSL","Electronic check",80
"0481-SUMCB","One year",45,102.15,"No","Fiber optic","Bank transfer (automatic)",80
"1769-GRUIK","Month-to-month",18,71.1,"No","Fiber optic","Electronic check",60
"5240-IJOQT","Month-to-month",1,74.7,"Yes","Fiber optic","Electronic check",50
"8819-WFGGJ","Two year",68,54.1,"No","DSL","Bank transfer (automatic)",90
"7427-AUFPY","Two year",54,19.65,"No","No","Credit card (automatic)",80
"2811-POVEX","Month-to-month",23,88.45,"No","Fiber optic","Bank transfer (automatic)",60
"1092-GANHU","Month-to-month",17,76.65,"Yes","Fiber optic","Electronic check",60
"7898-PDWQE","Two year",71,80.4,"No","DSL","Credit card (automatic)",100
"9972-EWRJS","Two year",67,19.25,"No","No","Bank transfer (automatic)",80
"9314-IJWSQ","Month-to-month",14,84.8,"No","Fiber optic","Electronic check",60
"0661-XEYAN","Month-to-month",1,25.8,"Yes","DSL","Mailed check",30
"5799-JRCZO","Two year",63,19.5,"No","No","Credit card (automatic)",80
"1921-KYSAY","One year",41,68.6,"No","DSL","Electronic check",70
"6198-RTPMF","Month-to-month",17,92.6,"No","Fiber optic","Electronic check",60
"2924-KHUVI","One year",56,100.55,"No","Fiber optic","Electronic check",90
"1925-GMVBW","Month-to-month",5,20.55,"No","No","Credit card (automatic)",30
"7881-EVUAD","Month-to-month",2,42.6,"Yes","DSL","Electronic check",40
"6184-DYUOB","Month-to-month",3,19.6,"No","No","Mailed check",30
"9207-ZPANB","One year",37,67.45,"No","DSL","Electronic check",70
"5766-XQXMQ","Month-to-month",29,68.85,"Yes","DSL","Bank transfer (automatic)",60
"9327-QSDED","Month-to-month",8,43.55,"No","DSL","Mailed check",40
"1656-DRSMG","Month-to-month",63,109.85,"No","Fiber optic","Credit card (automatic)",80
"3012-VFFMN","Month-to-month",7,20.65,"No","No","Mailed check",30
"2984-AFWNC","Month-to-month",3,95.4,"No","Fiber optic","Electronic check",50
"0640-YJTPY","Two year",72,21,"No","No","Bank transfer (automatic)",80
"8096-LOIST","Month-to-month",19,56.2,"No","DSL","Electronic check",50
"9764-REAFF","Two year",59,18.4,"No","No","Bank transfer (automatic)",80
"3703-VAVCL","Month-to-month",2,90,"Yes","Fiber optic","Credit card (automatic)",50
"7107-UBYKY","Month-to-month",35,25.75,"No","No","Electronic check",50
"4881-GQJTW","Month-to-month",14,19.6,"No","No","Credit card (automatic)",40
"8519-QJGJD","Month-to-month",14,75.35,"Yes","Fiber optic","Electronic check",60
"7876-DNYAP","Two year",69,19.8,"No","No","Credit card (automatic)",80
"7905-NJMXS","Month-to-month",7,64.2,"No","DSL","Electronic check",40
"2882-WDTBA","Two year",69,75.75,"No","DSL","Bank transfer (automatic)",100
"2091-GPPIQ","Two year",72,78.95,"No","DSL","Electronic check",100
"6326-MTTXK","Month-to-month",8,100.85,"Yes","Fiber optic","Electronic check",50
"5071-FBJFS","Month-to-month",4,50.3,"No","DSL","Electronic check",40
"2796-UUZZO","Month-to-month",63,80.3,"No","Fiber optic","Credit card (automatic)",80
"2429-AYKKO","Two year",72,19.85,"No","No","Bank transfer (automatic)",80
"9798-OPFEM","Two year",46,21.1,"No","No","Electronic check",70
"0330-IVZHA","Month-to-month",5,69.95,"Yes","Fiber optic","Electronic check",40
"3794-NFNCH","Month-to-month",30,50,"No","DSL","Mailed check",60
"5193-QLVZB","Two year",63,104.75,"No","Fiber optic","Bank transfer (automatic)",100
"7114-AEOZE","Two year",60,19.85,"No","No","Bank transfer (automatic)",80
"2886-KEFUM","One year",63,107.5,"Yes","Fiber optic","Electronic check",90
"5522-NYKPB","Month-to-month",25,85.9,"No","Fiber optic","Electronic check",70
"4237-RLAQD","Month-to-month",1,45.85,"Yes","DSL","Mailed check",40
"9957-YODKZ","Month-to-month",6,80.8,"No","Fiber optic","Electronic check",50
"6518-KZXCB","Two year",22,25.25,"No","No","Mailed check",60
"2245-ADZFJ","Two year",31,80.55,"No","DSL","Bank transfer (automatic)",90
"7776-QGYJC","Month-to-month",39,81.5,"No","Fiber optic","Bank transfer (automatic)",70
"9313-QOLTZ","Month-to-month",26,20.9,"No","No","Mailed check",50
"9651-GTSAQ","One year",53,106.1,"Yes","Fiber optic","Bank transfer (automatic)",90
"3186-BAXNB","Month-to-month",1,91.7,"Yes","Fiber optic","Electronic check",50
"4672-FOTSD","Month-to-month",12,67.25,"No","DSL","Electronic check",40
"0637-YLETY","Month-to-month",16,95.6,"Yes","Fiber optic","Credit card (automatic)",60
"9818-XQCUV","Month-to-month",2,20.35,"No","No","Mailed check",30
"7338-ERIVA","One year",39,45.05,"No","DSL","Bank transfer (automatic)",70
"1157-BQCUW","Month-to-month",1,74.95,"Yes","Fiber optic","Electronic check",50
"8259-NFJTV","Month-to-month",7,34.65,"No","DSL","Mailed check",40
"3223-DWFIO","Month-to-month",4,69.35,"No","Fiber optic","Electronic check",40
"2660-EMUBI","Month-to-month",10,95.35,"Yes","Fiber optic","Electronic check",50
"6968-GMKPR","Month-to-month",55,81.55,"No","Fiber optic","Electronic check",80
"4751-ERMAN","Two year",72,75.4,"No","DSL","Bank transfer (automatic)",100
"1436-ZMJAN","Month-to-month",10,67.8,"No","DSL","Credit card (automatic)",40
"3292-PBZEJ","Month-to-month",11,111.4,"No","Fiber optic","Electronic check",50
"0799-DDIHE","Month-to-month",15,46.3,"No","DSL","Electronic check",50
"3070-FNFZQ","Two year",23,20.4,"No","No","Bank transfer (automatic)",60
"2812-SFXMJ","Month-to-month",1,20.05,"No","No","Mailed check",30
"7675-OZCZG","Month-to-month",3,45,"Yes","DSL","Electronic check",40
"5014-WUQMG","One year",47,96.1,"No","Fiber optic","Electronic check",80
"5312-TSZVC","One year",15,19.65,"No","No","Mailed check",50
"2003-CKLOR","Month-to-month",66,99.5,"Yes","Fiber optic","Electronic check",80
"0993-OSGPT","One year",68,60.65,"No","DSL","Bank transfer (automatic)",80
"9254-RBFON","One year",17,98.6,"Yes","Fiber optic","Bank transfer (automatic)",70
"1205-WNWPJ","Month-to-month",7,59.5,"Yes","DSL","Mailed check",40
"9391-EOYLI","Month-to-month",12,80.45,"Yes","Fiber optic","Electronic check",50
"7108-DGVUU","One year",21,71.7,"No","DSL","Bank transfer (automatic)",70
"2782-JEEBU","Month-to-month",21,36,"No","DSL","Mailed check",50
"5127-BZENZ","One year",56,65.2,"No","DSL","Bank transfer (automatic)",80
"2720-FVBQP","Month-to-month",6,48.95,"No","DSL","Credit card (automatic)",40
"9906-NHHVC","Two year",65,53.5,"No","DSL","Bank transfer (automatic)",90
"4522-XRWWI","One year",42,80.45,"No","DSL","Credit card (automatic)",80
"3766-EJLFL","Two year",68,109.05,"No","Fiber optic","Bank transfer (automatic)",100
"5939-SXWHM","Two year",48,26.3,"No","No","Bank transfer (automatic)",70
"8152-UOBNY","One year",50,106.8,"No","Fiber optic","Electronic check",90
"7351-KYHQH","Month-to-month",7,64.95,"No","DSL","Electronic check",40
"7643-RCHXS","Two year",63,19.35,"No","No","Electronic check",80
"8246-SHFGA","Month-to-month",17,21.1,"No","No","Credit card (automatic)",40
"8387-MOJJT","Month-to-month",42,77.95,"Yes","Fiber optic","Credit card (automatic)",70
"0620-XEFWH","Month-to-month",4,18.85,"No","No","Mailed check",30
"6485-QXWWE","Two year",62,26,"No","No","Bank transfer (automatic)",80
"2761-OCIAX","Month-to-month",2,74.7,"Yes","Fiber optic","Electronic check",50
"7321-VGNKU","Month-to-month",2,70.35,"No","Fiber optic","Electronic check",50
"5327-CNLUQ","Two year",48,96.9,"No","Fiber optic","Bank transfer (automatic)",90
"7552-KEYGT","Two year",27,19.55,"No","No","Bank transfer (automatic)",70
"5816-JMLGY","Two year",70,80.4,"No","DSL","Bank transfer (automatic)",100
"3068-OMWZA","Month-to-month",1,88.8,"Yes","Fiber optic","Electronic check",50
"2927-QRRQV","One year",46,94.65,"No","Fiber optic","Electronic check",80
"6032-KRXXO","Month-to-month",30,90.25,"Yes","Fiber optic","Electronic check",70
"7459-RRWQZ","Month-to-month",15,64.65,"Yes","DSL","Bank transfer (automatic)",50
"6265-SXWBU","One year",69,95.75,"No","Fiber optic","Credit card (automatic)",90
"7941-RCJOW","Two year",65,19.55,"No","No","Credit card (automatic)",80
"6374-NTQLP","Two year",72,104.1,"No","Fiber optic","Credit card (automatic)",100
"4154-AQUGT","Month-to-month",13,89.05,"Yes","Fiber optic","Bank transfer (automatic)",60
"1488-PBLJN","Two year",72,116.85,"No","Fiber optic","Bank transfer (automatic)",100
"2387-KDZQY","One year",17,20.1,"No","No","Mailed check",50
"3584-WKTTW","One year",51,111.55,"No","Fiber optic","Electronic check",90
"3399-BMLVW","Two year",51,60.5,"No","DSL","Credit card (automatic)",90
"1971-DTCZB","Two year",72,90.95,"No","DSL","Bank transfer (automatic)",100
"3092-IGHWF","One year",67,87.4,"Yes","Fiber optic","Electronic check",90
"3374-PZLXD","Month-to-month",34,19.7,"No","No","Mailed check",50
"3813-DHBBB","Two year",67,50.95,"No","DSL","Bank transfer (automatic)",90
"2812-REYAT","One year",49,20.05,"No","No","Bank transfer (automatic)",70
"6518-PPLMZ","Two year",53,19.4,"No","No","Mailed check",80
"4939-KYYPY","Month-to-month",27,59.45,"No","DSL","Electronic check",60
"8017-LXHFA","Month-to-month",23,94.75,"Yes","Fiber optic","Electronic check",60
"5930-GBIWP","Two year",69,81.5,"No","DSL","Credit card (automatic)",100
"6022-KOUQO","Month-to-month",2,29.05,"No","DSL","Bank transfer (automatic)",30
"6352-TWCAU","Month-to-month",35,86.45,"Yes","Fiber optic","Electronic check",70
"2361-UPSND","One year",46,70.6,"No","DSL","Mailed check",80
"6035-RIIOM","Two year",54,97.2,"No","Fiber optic","Bank transfer (automatic)",100
"2929-QNSRW","One year",56,98.25,"Yes","Fiber optic","Electronic check",90
"1262-OPMFY","Month-to-month",9,75.75,"Yes","Fiber optic","Bank transfer (automatic)",50
"9504-DSHWM","Month-to-month",20,59.2,"No","DSL","Bank transfer (automatic)",50
"5035-BVCXS","Month-to-month",11,75.9,"No","Fiber optic","Mailed check",50
"6267-DCFFZ","Month-to-month",30,90.05,"No","Fiber optic","Electronic check",70
"3533-UVMOM","Two year",68,70.95,"No","DSL","Bank transfer (automatic)",100
"2439-LYPMQ","Month-to-month",38,102.6,"No","Fiber optic","Electronic check",70
"4248-QPAVC","Month-to-month",17,85.35,"Yes","Fiber optic","Bank transfer (automatic)",60
"1899-VXWXM","One year",48,106.1,"Yes","Fiber optic","Credit card (automatic)",80
"1478-VPOAD","Month-to-month",1,43.8,"No","DSL","Electronic check",40
"9995-HOTOH","Two year",63,59,"No","DSL","Electronic check",90
"2988-PLAHS","One year",3,69.95,"No","DSL","Electronic check",50
"1371-OJCEK","One year",48,24.35,"No","No","Bank transfer (automatic)",60
"4999-IEZLT","One year",66,29.45,"No","DSL","Credit card (automatic)",70
"8883-ANODQ","Two year",68,84.4,"No","Fiber optic","Credit card (automatic)",100
"4690-LLKUA","Month-to-month",17,45.05,"Yes","DSL","Electronic check",50
"2351-RRBUE","One year",7,20.65,"No","No","Mailed check",40
"5980-BDHPY","Two year",72,87.1,"No","DSL","Bank transfer (automatic)",100
"1498-DQNRX","Month-to-month",29,19.85,"No","No","Mailed check",50
"9469-WEJBT","Month-to-month",37,90.35,"No","Fiber optic","Electronic check",70
"3331-HQDTW","Month-to-month",34,109.8,"Yes","Fiber optic","Mailed check",70
"9490-DFPMD","Month-to-month",42,84.65,"Yes","Fiber optic","Electronic check",70
"2581-VKIRT","One year",59,65.5,"No","DSL","Mailed check",80
"5442-XSDCW","Month-to-month",11,79.5,"Yes","Fiber optic","Bank transfer (automatic)",50
"7426-WEIJX","Month-to-month",60,80.95,"No","Fiber optic","Electronic check",80
"2851-MMUTZ","Month-to-month",27,56.15,"No","DSL","Mailed check",60
"3049-NDXFL","Month-to-month",1,85.8,"Yes","Fiber optic","Mailed check",50
"8580-AECUZ","Month-to-month",1,79.1,"Yes","Fiber optic","Electronic check",50
"3307-TLCUD","Month-to-month",17,34.4,"No","DSL","Mailed check",50
"6625-FLENO","Two year",58,20.75,"No","No","Mailed check",80
"2967-MXRAV","One year",1,18.8,"No","No","Mailed check",40
"7963-GQRMY","Month-to-month",3,44.3,"Yes","DSL","Mailed check",40
"8189-HBVRW","Month-to-month",53,90.8,"No","Fiber optic","Electronic check",80
"4163-KIUHY","Month-to-month",35,25.6,"No","No","Electronic check",50
"1228-FZFRV","Month-to-month",50,105.95,"Yes","Fiber optic","Credit card (automatic)",80
"3500-NSDOA","Two year",68,70.8,"No","DSL","Credit card (automatic)",100
"1171-TYKUR","Month-to-month",47,25.4,"No","No","Electronic check",50
"3761-FLYZI","Month-to-month",65,108.8,"No","Fiber optic","Bank transfer (automatic)",80
"2058-DCJBE","Month-to-month",5,69.75,"Yes","Fiber optic","Electronic check",40
"5364-XYIRR","Month-to-month",51,94.65,"Yes","Fiber optic","Electronic check",80
"4829-AUOAX","Month-to-month",46,96.05,"Yes","Fiber optic","Bank transfer (automatic)",70
"1219-NNDDO","Month-to-month",9,76.85,"No","Fiber optic","Electronic check",50
"8388-DMKAE","Two year",8,20.25,"No","No","Mailed check",50
"4403-BWPAY","One year",14,24.8,"No","No","Credit card (automatic)",50
"9659-QEQSY","Month-to-month",45,115.65,"No","Fiber optic","Electronic check",70
"5405-ZMYXQ","Month-to-month",8,74.6,"No","Fiber optic","Credit card (automatic)",50
"5047-LHVLY","Month-to-month",1,50.15,"Yes","DSL","Mailed check",40
"1442-OKRJE","One year",66,103.15,"No","Fiber optic","Bank transfer (automatic)",90
"4737-AQCPU","Two year",72,72.1,"No","DSL","Credit card (automatic)",100
"9158-VCTQB","Month-to-month",41,113.6,"Yes","Fiber optic","Bank transfer (automatic)",70
"2808-CHTDM","Two year",23,25.1,"No","No","Mailed check",60
"6311-UEUME","Month-to-month",29,78.9,"Yes","Fiber optic","Electronic check",70
"0793-TWELN","Month-to-month",4,80.15,"No","Fiber optic","Electronic check",50
"3283-WCWXT","Two year",6,25.4,"No","No","Mailed check",50
"1060-ENTOF","One year",67,105.4,"No","Fiber optic","Credit card (automatic)",90
"0999-QXNSA","Month-to-month",7,45.75,"No","DSL","Mailed check",40
"5451-MHQOF","One year",56,24.45,"No","No","Mailed check",70
"4836-WNFNO","Two year",72,25,"No","No","Credit card (automatic)",80
"9225-BZLNZ","Two year",72,85.25,"No","DSL","Electronic check",100
"0354-VXMJC","Two year",23,19.6,"No","No","Credit card (automatic)",60
"4422-QVIJA","Month-to-month",35,50.15,"No","DSL","Mailed check",60
"9365-SRSZE","Month-to-month",27,70.55,"No","Fiber optic","Electronic check",70
"6839-ITVZJ","Month-to-month",26,60.05,"Yes","DSL","Electronic check",60
"8332-OSJDW","One year",12,26.4,"No","No","Mailed check",40
"4735-BJKOU","Two year",40,20.15,"No","No","Mailed check",70
"0274-JKUJR","Month-to-month",7,58.85,"No","DSL","Mailed check",40
"5740-YHGTW","Month-to-month",70,97.55,"No","Fiber optic","Credit card (automatic)",80
"8917-SZTTJ","Two year",60,19.65,"No","No","Credit card (automatic)",80
"1696-MZVAU","One year",39,25.25,"No","DSL","Credit card (automatic)",60
"7359-WWYJV","Two year",72,114.45,"No","Fiber optic","Credit card (automatic)",100
"0375-HVGXO","Month-to-month",1,34.7,"Yes","DSL","Electronic check",40
"4906-ZHGPK","One year",54,70.7,"No","DSL","Electronic check",90
"8593-WHYHV","Month-to-month",3,85.3,"Yes","Fiber optic","Electronic check",50
"3795-GWTRD","Two year",63,75.55,"No","DSL","Credit card (automatic)",100
"1298-PHBTI","Two year",71,84.8,"No","Fiber optic","Electronic check",100
"6223-DHJGV","One year",42,20.65,"No","No","Mailed check",60
"6961-MJKBO","Two year",47,20.45,"No","No","Bank transfer (automatic)",70
"6097-EQISJ","One year",66,102.45,"Yes","Fiber optic","Credit card (automatic)",90
"4423-YLHDV","Month-to-month",21,104.4,"Yes","Fiber optic","Bank transfer (automatic)",60
"8158-WPEZG","Month-to-month",11,35.65,"No","DSL","Electronic check",40
"0107-YHINA","Month-to-month",1,99.75,"Yes","Fiber optic","Electronic check",50
"4918-FYJNT","Month-to-month",55,90.45,"No","Fiber optic","Electronic check",80
"0727-BNRLG","Two year",69,97.65,"No","Fiber optic","Credit card (automatic)",100
"4854-CIDCF","Month-to-month",3,73.85,"No","Fiber optic","Electronic check",50
"8640-SDGKB","Month-to-month",4,74.4,"Yes","DSL","Electronic check",50
"3280-MRDOF","Two year",30,69.1,"No","DSL","Credit card (automatic)",80
"6435-SRWBJ","Month-to-month",5,82.75,"No","Fiber optic","Electronic check",50
"9964-WBQDJ","Two year",71,24.4,"No","No","Credit card (automatic)",80
"6303-KFWSL","One year",29,55.25,"No","DSL","Electronic check",70
"1702-CCFNJ","Month-to-month",52,61.35,"No","DSL","Bank transfer (automatic)",70
"8932-CZHRQ","One year",68,76.75,"No","DSL","Credit card (automatic)",90
"0386-CWRGM","Two year",46,19.4,"No","No","Mailed check",70
"5515-RUGKN","Month-to-month",8,54.75,"No","DSL","Credit card (automatic)",40
"0404-AHASP","Two year",72,19.7,"No","No","Credit card (automatic)",80
"7279-NMVJC","One year",17,19.9,"No","No","Bank transfer (automatic)",50
"2081-VEYEH","Month-to-month",3,107.95,"No","Fiber optic","Electronic check",50
"6407-UTSLV","Month-to-month",2,83.8,"No","Fiber optic","Bank transfer (automatic)",50
"4116-TZAQJ","Month-to-month",9,74.25,"Yes","Fiber optic","Credit card (automatic)",50
"9060-HJJRW","One year",51,56.4,"No","DSL","Credit card (automatic)",80
"2587-YNLES","Two year",6,20.1,"No","No","Mailed check",50
"7398-SKNQZ","Month-to-month",3,94.9,"No","Fiber optic","Electronic check",50
"5935-FCCNB","Month-to-month",17,94.2,"No","Fiber optic","Electronic check",60
"1958-RNRKS","Month-to-month",30,49.9,"No","DSL","Electronic check",60
"5136-RGMZO","Month-to-month",31,71.05,"No","DSL","Electronic check",70
"8345-MVDYC","Two year",45,81.65,"No","DSL","Bank transfer (automatic)",90
"8226-BXGES","One year",64,89.45,"No","Fiber optic","Bank transfer (automatic)",90
"3877-JRJIP","Month-to-month",1,59.85,"Yes","DSL","Electronic check",40
"8375-DKEBR","Month-to-month",1,69.6,"Yes","Fiber optic","Electronic check",40
"9705-IOVQQ","One year",61,99,"No","Fiber optic","Electronic check",90
"1015-OWJKI","Month-to-month",1,19.05,"No","No","Mailed check",30
"7511-YMXVQ","Month-to-month",9,45.4,"Yes","DSL","Electronic check",40
"2040-XBAVJ","Two year",72,114.45,"No","Fiber optic","Bank transfer (automatic)",100
"7551-JOHTI","Month-to-month",1,19.5,"Yes","No","Mailed check",30
"8887-IPQNC","Month-to-month",7,44.25,"No","DSL","Mailed check",40
"8646-JCOMS","One year",66,90.55,"No","Fiber optic","Bank transfer (automatic)",90
"9804-ICWBG","Month-to-month",1,69.9,"Yes","Fiber optic","Electronic check",40
"1222-KJNZD","Month-to-month",40,20.4,"No","No","Bank transfer (automatic)",50
"0106-GHRQR","Month-to-month",16,71.4,"No","DSL","Bank transfer (automatic)",60
"5318-IXUZF","Month-to-month",2,87.15,"Yes","Fiber optic","Bank transfer (automatic)",50
"3768-VHXQO","Two year",67,24.85,"No","No","Credit card (automatic)",80
"8952-WCVCD","One year",41,104.45,"No","Fiber optic","Bank transfer (automatic)",80
"0308-GIQJT","One year",71,105.75,"No","Fiber optic","Bank transfer (automatic)",90
"2418-TPEUN","Two year",56,19.8,"No","No","Credit card (automatic)",80
"3963-RYFNS","Two year",72,116.45,"No","Fiber optic","Bank transfer (automatic)",100
"3198-VELRD","Month-to-month",3,84.75,"Yes","Fiber optic","Bank transfer (automatic)",50
"8540-ZQGEA","Two year",54,20.05,"No","No","Credit card (automatic)",80
"1320-REHCS","Month-to-month",52,110.75,"No","Fiber optic","Electronic check",80
"4137-JOPHL","Two year",50,89.7,"No","Fiber optic","Bank transfer (automatic)",100
"9436-ZBZCT","Month-to-month",14,89.95,"Yes","Fiber optic","Electronic check",60
"7801-CEDNV","One year",27,48.7,"No","DSL","Credit card (automatic)",70
"2057-BOYKM","Two year",72,96.6,"No","Fiber optic","Bank transfer (automatic)",100
"3658-QQJYD","One year",62,74.3,"No","DSL","Credit card (automatic)",90
"1803-BGNBD","Month-to-month",12,54.3,"No","DSL","Electronic check",40
"0134-XWXCE","One year",44,74.85,"No","DSL","Bank transfer (automatic)",80
"6950-TWMYB","Two year",54,79.95,"No","Fiber optic","Bank transfer (automatic)",100
"5848-FHRFC","Two year",68,20.05,"No","No","Bank transfer (automatic)",80
"2243-FNMMI","Month-to-month",20,19.4,"No","No","Mailed check",40
"2511-MORQY","One year",50,54.9,"No","DSL","Bank transfer (automatic)",80
"5356-KZCKT","Two year",58,24.45,"No","No","Credit card (automatic)",80
"9470-XCCEM","Month-to-month",35,89.65,"No","Fiber optic","Bank transfer (automatic)",70
"6519-CFDBX","Month-to-month",2,45.4,"No","DSL","Electronic check",40
"3902-MIVLE","Two year",63,75.7,"No","DSL","Mailed check",100
"0409-WTMPL","One year",58,110.65,"No","Fiber optic","Credit card (automatic)",90
"8763-KIAFH","One year",27,20.55,"No","No","Mailed check",60
"3669-WHAFY","Two year",71,115.15,"No","Fiber optic","Credit card (automatic)",100
"3055-VTCGS","One year",63,58.55,"No","DSL","Credit card (automatic)",80
"3144-KMTWZ","Month-to-month",71,93.25,"No","Fiber optic","Bank transfer (automatic)",80
"7279-BUYWN","Month-to-month",41,113.2,"Yes","Fiber optic","Electronic check",70
"7156-MHUGY","Month-to-month",13,90.5,"Yes","Fiber optic","Electronic check",60
"7198-GLXTC","Month-to-month",2,79,"Yes","Fiber optic","Electronic check",50
"2007-QVGAW","Two year",68,19.35,"No","No","Bank transfer (automatic)",80
"5207-PLSTK","Month-to-month",1,48.75,"No","DSL","Mailed check",40
"2307-FYNNL","Two year",65,109.05,"No","Fiber optic","Electronic check",100
"5605-XNWEN","Two year",72,25,"No","No","Bank transfer (automatic)",80
